ItemID,ItemName,Category,Brand,Barcode,CostPrice_MYR,RetailPrice_MYR
IT00001,Dutch Lady Chocolate Bar Frozen Foods,Frozen Foods,Dutch Lady,6560831571050,39.43,37.02
IT00002,Mamee Frozen Pizza Personal Care,Personal Care,Mamee,2419311666634,43.58,37.26
IT00003,Mamee Green Tea Local Delicacies,Local Delicacies,Mamee,5102481484052,31.64,37.86
IT00004,Massimo Organic Milk Snacks,Snacks,Massimo,3038442386490,21.19,5.66
IT00005,Mamee Dish Soap Household,Household,Mamee,9883927247688,5.12,57.09
IT00006,Safi Shampoo Household,Household,Safi,6855075620955,23.13,9.96
IT00007,Vitagen Ice Cream Snacks,Snacks,Vitagen,1149934389453,20.77,13.39
IT00008,Safi Energy Drink Household,Household,Safi,5851456331523,10.87,58.27
IT00009,Safi Shampoo Personal Care,Personal Care,Safi,9512310182883,30.7,55.55
IT00010,Lifebuoy Dish Soap Local Delicacies,Local Delicacies,Lifebuoy,5367814975165,17.62,25.15
IT00011,F&N Nasi Lemak Pack Personal Care,Personal Care,F&N,4279667239099,28.05,11.03
IT00012,Adabi Yogurt Frozen Foods,Frozen Foods,Adabi,6872916296832,11.54,3.31
IT00013,Mamee Organic Milk Baby Care,Baby Care,Mamee,2682463274658,39.93,37.54
IT00014,Lifebuoy Shampoo Personal Care,Personal Care,Lifebuoy,9971821435931,43.43,38.53
IT00015,Adabi Satay Sauce Personal Care,Personal Care,Adabi,3157409241494,34.1,40.96
IT00016,Vitagen Green Tea Household,Household,Vitagen,5124813262562,7.74,43.65
IT00017,F&N Shampoo Dairy,Dairy,F&N,3159384861438,14.29,5.3
IT00018,Nestlé Shampoo Frozen Foods,Frozen Foods,Nestlé,4709290138342,24.82,35.11
IT00019,F&N Frozen Pizza Household,Household,F&N,8210200190122,11.75,56.74
IT00020,Mamee Green Tea Frozen Foods,Frozen Foods,Mamee,8816538532417,31.97,19.85
IT00021,Biokos Dish Soap Snacks,Snacks,Biokos,5514948822635,10.96,53.88
IT00022,Nestlé Frozen Pizza Baby Care,Baby Care,Nestlé,7015736022298,22.5,49.63
IT00023,Mamee Frozen Pizza Dairy,Dairy,Mamee,4047325455815,27.64,30.64
IT00024,Mamee Shampoo Dairy,Dairy,Mamee,3934511174295,47.26,21.42
IT00025,Vitagen Yogurt Local Delicacies,Local Delicacies,Vitagen,8962748171760,14.19,17.07
IT00026,Safi Baby Wipes Frozen Foods,Frozen Foods,Safi,3754839427291,4.47,18.88
IT00027,Adabi Baby Wipes Dairy,Dairy,Adabi,8134562997377,27.48,28.52
IT00028,Lifebuoy Laundry Detergent Beverages,Beverages,Lifebuoy,2721114583806,40.55,29.81
IT00029,Biokos Green Tea Personal Care,Personal Care,Biokos,9292793429502,6.33,50.61
IT00030,Biokos Satay Sauce Household,Household,Biokos,3831783430907,34.52,3.95
IT00031,Mamee Laundry Detergent Baby Care,Baby Care,Mamee,8919664243176,35.17,25.04
IT00032,Vitagen Organic Milk Personal Care,Personal Care,Vitagen,8740995936219,37.29,14.92
IT00033,Nestlé Baby Wipes Frozen Foods,Frozen Foods,Nestlé,2128116041467,10.4,58.98
IT00034,Adabi Body Wash Household,Household,Adabi,2945192483876,44.37,13.76
IT00035,Mamee Baby Wipes Dairy,Dairy,Mamee,5960070144403,44.58,47.45
IT00036,Dutch Lady Diapers Local Delicacies,Local Delicacies,Dutch Lady,8078800293831,39.7,41.13
IT00037,Mamee Satay Sauce Beverages,Beverages,Mamee,1425088649368,2.24,12.17
IT00038,Safi Green Tea Personal Care,Personal Care,Safi,5106951964328,10.44,4.03
IT00039,F&N Satay Sauce Beverages,Beverages,F&N,9245238429063,42.76,40.48
IT00040,Mamee Green Tea Dairy,Dairy,Mamee,9959211124965,20.87,53.85
IT00041,Safi Potato Chips Baby Care,Baby Care,Safi,4425859632736,29.69,31.07
IT00042,Mamee Laundry Detergent Snacks,Snacks,Mamee,3348353057983,32.98,13.1
IT00043,F&N Green Tea Household,Household,F&N,8597595591716,46.56,27.41
IT00044,Mamee Dish Soap Snacks,Snacks,Mamee,5260931167347,16.13,24.95
IT00045,Adabi Satay Sauce Frozen Foods,Frozen Foods,Adabi,9871498909464,20.95,51.12
IT00046,Vitagen Energy Drink Baby Care,Baby Care,Vitagen,1662693226985,44.11,45.22
IT00047,Massimo Diapers Dairy,Dairy,Massimo,2053810990255,28.54,19.9
IT00048,Mamee Body Wash Personal Care,Personal Care,Mamee,4953996343703,45.84,32.15
IT00049,Dutch Lady Chocolate Bar Dairy,Dairy,Dutch Lady,1084395952448,5.41,25.62
IT00050,Mamee Frozen Pizza Beverages,Beverages,Mamee,6009544983643,29.79,27.99
